COUNT	608
data_finance.app_app_finance_model_manage_statistics_cover_info_view	view
data_finance.app_consumables_over_quota_cost_di	table
data_finance.app_finance_ap_minus_warn_detail_da_v1	table
data_finance.app_finance_ap_minus_warn_summary_da_v1	table
data_finance.app_finance_ar_invoice_month_summary_da_v1	table
data_finance.app_finance_ar_invoice_month_summary_no_receipt_da_v1	table
data_finance.app_finance_ar_invoice_month_summary_receipt_da_v1	table
data_finance.app_finance_ar_invoice_summary_da_v1	table
data_finance.app_finance_ar_invoice_summary_no_receipt_da_v1	table
data_finance.app_finance_ar_invoice_summary_receipt_da_v1	table
data_finance.app_finance_asset_management0202_property_assessment_view	view
data_finance.app_finance_budget_control0501_pre_realistic_tracking_view	view
data_finance.app_finance_budget_control0502_budgetary_planning_view	view
data_finance.app_finance_contract_review_contract_review_view	view
data_finance.app_finance_estimated_store_unified_assets_booking_warn_warehouse_v1	table
data_finance.app_finance_factory_analysis_report_build_analysis_view	view
data_finance.app_finance_factory_budget_element_split_analysis_view	view
data_finance.app_finance_factory_budget_issued_analysis_view	view
data_finance.app_finance_factory_capex_budget_management_analysis_view	view
data_finance.app_finance_factory_cost_allocation_analysis_view	view
data_finance.app_finance_factory_engineering_invest_risk_management_analysis_view	view
data_finance.app_finance_factory_model_test_analysis_view	view
data_finance.app_finance_factory_vat_reduce_analysis_view	view
data_finance.app_finance_financial_analysis0205_analysis_report_view	view
data_finance.app_finance_industry_finance0207_system_deployment_view	view
data_finance.app_finance_integration_store_daily_v1	table
data_finance.app_finance_management_report_issued0201_management_report_view	view
data_finance.app_finance_model_control0206_fresh_food_factory_view	view
data_finance.app_finance_model_control0503_optimization_model_view	view
data_finance.app_finance_model_control0504_iterative_model_view	view
data_finance.app_finance_model_control0505_iterative_model_view	view
data_finance.app_finance_model_control0506_actual_value_view	view
data_finance.app_finance_model_control0507_build_model_system_view	view
data_finance.app_finance_model_control0508_build_model_system_view	view
data_finance.app_finance_of_rebate_bridge_da_v1	table
